Snomed_Codes
101421000119107
10171000132106
10349009
105421000119105
135811000119107
141991000119109
142001000119106
142011000119109
1581000119101
1591000119103
230258005
230265002
230266001
230267005
230268000
230269008
230270009
230279005
230280008
230288001
230289009
25772007
26852004
278857002
279982005
288631000119104
28978003
31081000119101
371024007
371026009
386257007
4817008
52448006
62239001
6475002
66108005
698949001
702426001
702429008
70936005
716994006
719787003
723123001
723390000
725898002
762707000
79341000119107
80098002
82361000119107
833326008
97751000119108
42769004
